emoji,name,url,filename
👩‍👧,"family: woman, girl",https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/family-woman-girl_1f469-200d-1f467.png,"data/family: woman, girl.png"
👩‍👧‍👦,"family: woman, girl, boy",https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/family-woman-girl-boy_1f469-200d-1f467-200d-1f466.png,"data/family: woman, girl, boy.png"
👩‍👧‍👧,"family: woman, girl, girl",https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/family-woman-girl-girl_1f469-200d-1f467-200d-1f467.png,"data/family: woman, girl, girl.png"
🤳,selfie,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/selfie_1f933.png,data/selfie.png
🤳🏻,selfie: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/selfie_light-skin-tone_1f933-1f3fb_1f3fb.png,data/selfie: light skin tone.png
🤳🏼,selfie: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/selfie_medium-light-skin-tone_1f933-1f3fc_1f3fc.png,data/selfie: medium-light skin tone.png
🤳🏽,selfie: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/selfie_medium-skin-tone_1f933-1f3fd_1f3fd.png,data/selfie: medium skin tone.png
🤳🏾,selfie: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/selfie_medium-dark-skin-tone_1f933-1f3fe_1f3fe.png,data/selfie: medium-dark skin tone.png
🤳🏿,selfie: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/selfie_dark-skin-tone_1f933-1f3ff_1f3ff.png,data/selfie: dark skin tone.png
💪,flexed biceps,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flexed-biceps_1f4aa.png,data/flexed biceps.png
💪🏻,flexed biceps: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flexed-biceps_light-skin-tone_1f4aa-1f3fb_1f3fb.png,data/flexed biceps: light skin tone.png
💪🏼,flexed biceps: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flexed-biceps_medium-light-skin-tone_1f4aa-1f3fc_1f3fc.png,data/flexed biceps: medium-light skin tone.png
💪🏽,flexed biceps: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flexed-biceps_medium-skin-tone_1f4aa-1f3fd_1f3fd.png,data/flexed biceps: medium skin tone.png
💪🏾,flexed biceps: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flexed-biceps_medium-dark-skin-tone_1f4aa-1f3fe_1f3fe.png,data/flexed biceps: medium-dark skin tone.png
💪🏿,flexed biceps: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flexed-biceps_dark-skin-tone_1f4aa-1f3ff_1f3ff.png,data/flexed biceps: dark skin tone.png
🦵,leg,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/leg_1f9b5.png,data/leg.png
🦵🏻,leg: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/leg_light-skin-tone_1f9b5-1f3fb_1f3fb.png,data/leg: light skin tone.png
🦵🏼,leg: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/leg_medium-light-skin-tone_1f9b5-1f3fc_1f3fc.png,data/leg: medium-light skin tone.png
🦵🏽,leg: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/leg_medium-skin-tone_1f9b5-1f3fd_1f3fd.png,data/leg: medium skin tone.png
🦵🏾,leg: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/leg_medium-dark-skin-tone_1f9b5-1f3fe_1f3fe.png,data/leg: medium-dark skin tone.png
🦵🏿,leg: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/leg_dark-skin-tone_1f9b5-1f3ff_1f3ff.png,data/leg: dark skin tone.png
